ArtID;NavnDansk;LatArt
7424;kær-cypresmos;Hypnum pratense
7425;ret cypresmos;Hypnum resupinatum
7426;ynglegrenslægten;Isopterygium
7427;skinnende ynglegren;Isopterygium elegans
7428;stammemosslægten;Isothecium
7429;slank stammemos;Isothecium myosuroides
7430;stor stammemos;Isothecium myurum
7431;stammemosfamilien;Lembophyllaceae
7432;pæremosslægten;Leptobryum
7433;almindelig pæremos;Leptobryum pyriforme
7434;pytmosslægten;Leptodictyum
7435;kochs pytmos;Leptodictyum kochii
7436;stor pytmos;Leptodictyum riparium
7437;smaltandslægten;Leptodontium
7438;blød smaltand;Leptodontium flexifolium
7439;brod-smaltand;Leptodontium gemmascens
7440;lærkemosslægten;Leskea
7441;mat lærkemos;Leskea polycarpa
7442;lærkemosfamilien;Leskeaceae
7443;;Leskeella
7444;;Leskeella nervosa
7445;hvidmosfamilien;Leucobryaceae
7446;hvidmosslægten;Leucobryum
7447;almindelig hvidmos;Leucobryum glaucum
7448;lille hvidmos;Leucobryum juniperoideum
7449;buemosslægten;Leucodon
7450;egernhale-buemos;Leucodon sciuroides
7451;buemosfamilien;Leucodontaceae
7452;krumbladslægten;Limprichtia
7453;grøn krumblad;Scorpidium cossonii
7454;rød krumblad;Scorpidium revolvens
7455;meesiaslægten;Meesia
7456;langbørstet meesia;Meesia longiseta
7457;treradet meesia;Meesia triquetra
7458;butbladet meesia;Meesia uliginosa
7459;meesiafamilien;Meesiaceae
7460;småmosslægten;Microbryum
7461;bøjet småmos;Microbryum curvicolle
7462;roset småmos;Microbryum davallianum
7463;dværg-småmos;Microbryum floerkeanum
7464;kugle-småmos;Microbryum rectum
7465;småmosfamilien;Mniaceae
7466;voksmosslægten;Mniobryum
7467;spæd voksmos;Mniobryum delicatulum
7468;lysegrøn voksmos;Mniobryum wahlenbergii
7469;stjernemosslægten;Mnium
7470;brunfiltet stjernemos;Mnium hornum
7471;rødlig stjernemos;Mnium marginatum
7472;indigo stjernemos;Mnium stellare
7473;rottehalemosslægten;Myurella
7474;trind rottehalemos;Myurella julacea
7475;fladmosslægten;Neckera
7476;almindelig fladmos;Neckera complanata
7477;kruset fladmos;Neckera crispa
7478;fjer-fladmos;Neckera pennata
7479;lav fladmos;Neckera pumila
7480;fladmosfamilien;Neckeraceae
7481;;Nyholmiella
7482;vandrademosslægten;Octodiceras
